Instance,SP,Greedy parameter
"(2, 2, 1)",2,11
"(2, 2, 2)",1.7,15
"(2, 3, 1)",1.5,14
"(2, 3, 2)",1.8,13
"(3, 2, 1)",1.7,12
"(3, 2, 2)",1.7,12
"(3, 3, 1)",1.9,14
"(3, 3, 2)",1.8,15
"(4, 2, 1)",1.9,8
"(4, 2, 2)",1.8,13
"(4, 3, 1)",1.7,15
"(4, 3, 2)",1.7,14
"(5, 2, 1)",1.5,4
"(5, 2, 2)",1.4,11
"(5, 3, 1)",1.9,14
"(5, 3, 2)",1.6,12
"(6, 2, 1)",1.4,2
"(6, 2, 2)",1.8,2
"(6, 3, 1)",1.6,8
"(6, 3, 2)",1.9,11
"(7, 2, 1)",1.8,3
"(7, 2, 2)",1.1,11
"(7, 3, 1)",1.7,8
"(7, 3, 2)",1.8,14
"(8, 2, 1)",1.7,7
"(8, 2, 2)",1.9,7
"(8, 3, 1)",2,11
"(8, 3, 2)",2,12
"(9, 3, 1)",2,15
"(9, 3, 2)",1.9,9
"(10, 3, 1)",1.7,12
"(10, 3, 2)",1.4,11